Cod_Estable,Cod_Evaluacion,Cantidad_Estud,Num_Boleta,Barcode,Corr_Año,Region,Cod_Region,Departamento,Cod_Depa,Municipio,Cod_Muni,Nivel,Cod_Nivel,Rama_Abstracta,Cod_Rama_Abstracta,Edad,Edad_RECO,Sexo_RECO,Sector,Cod_Sector,Area,Cod_Area,Jornada,Cod_Jornada,Ciclo,Cod_Distrito,Identificacion_Etnica_RECO,Ed_Asistio_Preprimaria,Ed_Repitio_Algun_Grado,Ed_Trabaja_Actualmente,Fm_Asistio_Escuela_Papa,Fm_Grado_Alcanzo_Papa_RECO,Fm_Asistio_Escuela_Mama,Fm_Grado_Alcanzo_Mama_RECO,CC_Material_Predomina_En_Piso_Casa,CC_Material_Predomina_En_Paredes_Casa,CC_Material_Predomina_En_Techo_Casa,Sc_Drenaje,Sc_Electricidad,Sc_Basura,Sc_Servicio_Internet,Sc_Neflix,CU_Leña,CU_Gas,CU_Electricidad,Smart_Tv,Secadora,Refrigerador,Computadora,Horno_Microondas,Horno_Tostador,Lavadora,Impresora,CC_Familia_Automovil,Mate_Periodos_Matematicas_Semana,Lect_Periodos_Lectura_Semana,Lect_Libros_Completos_Ha_Leido,Lectura_Gusto,Lectura_Horas,Grad_No_Se,Grad_Seguir_Estudiando,Grad_Trabajar,Grad_Formar_Familia,Grad_Trabajar_Extranjero,Gustaria_Universidad,Informacion_Prueba,Measure_Mate,Measure_Lect,Desempeño_Mate,Desempeño_Lect,Logro_Mate,Logro_Lect,estrato,N_estrato,n_estrato,peso,prob_seleccion
00-21-0033-46,7266679671.0,7,"150,945",007266679671,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 21,21.0,Diversificado,46,BACHILLERATO,1.0,16,1,0,Cooperativa,24,Urbana,11,Matutina,31,ANUAL,01-218,1,2,0,0,2,4,2,1,4,4,2,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,5,5,6,1,2,0,1,1,0,0,1,1,-0.41,0.74,1,3,0,1,Región 1 o Metropolitana | Ciudad Capital | Cooperativa | Urbana | Matutina | BACHILLERATO | 0,3,1,3.0,0.3333333333333333
00-21-0089-46,9401931760.0,30,"151,338",009401931760,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 21,21.0,Diversificado,46,BACHILLERATO,1.0,22,6,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-641,2,2,1,1,1,.,1,.,4,4,2,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0.3,-0.04,2,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-01-0789-46,1619913095.0,101,"268,652",001619913095,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,BACHILLERATO,1.0,22,6,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-403,2,2,1,1,2,1,2,1,5,4,2,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,3,1,1,0,1,0,0,0,1,1,-0.29,0.16,1,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-12-0155-46,636973405.0,611,"269,968",000636973405,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 12,12.0,Diversificado,46,BACHILLERATO,1.0,22,6,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-411,2,2,1,1,2,4,2,1,4,4,2,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,2,0,1,0,1,0,1,1,0,0,1,1,-0.51,-0.18,1,1,0,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-02-0136-46,2660826614.0,6,"269,338",002660826614,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 2,2.0,Diversificado,46,BACHILLERATO,1.0,19,4,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-403,1,2,1,1,2,3,2,3,5,4,5,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,4,5,2,1,2,0,1,1,0,0,1,1,-0.38,-0.46,1,1,0,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-12-0155-46,9524501993.0,611,"142,949",009524501993,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 12,12.0,Diversificado,46,BACHILLERATO,1.0,19,4,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-411,2,2,1,1,2,4,2,1,4,4,5,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,6,7,3,1,1,0,1,1,0,1,1,1,2.79,1.31,4,4,1,1,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-01-0795-46,1922793358.0,23,"129,912",001922793358,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,BACHILLERATO,1.0,21,6,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-403,1,2,0,1,1,.,1,.,4,4,5,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,4,0,1,0,0,0,1,1,-0.06,0.1,1,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-01-0734-46,3752309242.0,1021,"128,234",003752309242,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,BACHILLERATO,1.0,24,6,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-403,2,2,0,1,0,1,2,1,1,1,2,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,7,0,4,0,0,1,1,0,0,1,-0.26,0.07,1,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-18-0229-46,3412274406.0,7,"148,327",003412274406,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 18,18.0,Diversificado,46,BACHILLERATO,1.0,20,5,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-403,2,2,0,1,2,3,2,3,2,4,2,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,4,4,4,1,2,0,1,1,0,0,1,1,0.9,2.02,2,4,0,1,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-18-0229-46,2407029862.0,7,"148,323",002407029862,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 18,18.0,Diversificado,46,BACHILLERATO,1.0,25,6,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-403,2,1,1,1,2,2,2,1,5,4,5,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,5,3,2,1,1,0,1,1,1,0,1,1,0.75,1.27,2,4,0,1,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-21-0098-46,193661904.0,30,"151,387",000193661904,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 21,21.0,Diversificado,46,BACHILLERATO,1.0,18,3,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-641,2,2,0,1,2,4,2,3,5,5,5,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,-0.02,0.6,1,3,0,1,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-12-0155-46,1813940750.0,611,"143,394",001813940750,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 12,12.0,Diversificado,46,BACHILLERATO,1.0,19,4,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-411,2,2,1,1,0,1,2,1,1,3,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,1,1,0,1,1,0,0,1,1,0.15,-0.25,2,1,0,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-12-0151-46,2448933461.0,97,"142,645",002448933461,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 12,12.0,Diversificado,46,BACHILLERATO,1.0,34,6,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-641,1,2,1,1,1,.,1,.,5,4,5,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,2,1,1,1,0,0,1,0,0,1,1,-0.23,-0.19,1,1,0,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-12-0155-46,5504093613.0,611,"143,209",005504093613,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 12,12.0,Diversificado,46,BACHILLERATO,1.0,23,6,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-411,2,2,0,1,1,.,2,1,4,4,2,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,2,2,2,1,1,0,1,0,0,0,1,1,0.48,0.51,2,3,0,1,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-01-0734-46,4646495383.0,1021,"128,255",004646495383,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,BACHILLERATO,1.0,20,5,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-403,2,2,1,1,1,.,0,1,5,4,5,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,2,1,1,0,1,1,0,0,1,1,0.18,0.07,2,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-01-0766-46,185423372.0,238,"129,224",000185423372,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,BACHILLERATO,1.0,21,6,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-403,1,0,0,1,2,1,2,1,4,4,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,2,2,6,1,2,0,1,0,0,1,0,1,0.5,0.07,2,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-01-0766-46,6665351977.0,238,"129,133",006665351977,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,BACHILLERATO,1.0,18,3,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-403,2,2,0,0,2,4,2,2,5,5,2,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,2,0,3,1,2,0,1,0,0,0,1,1,0.1,0.33,2,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-01-0747-46,5006904298.0,73,"128,802",005006904298,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,BACHILLERATO,1.0,19,4,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-403,2,2,0,1,2,2,2,2,1,4,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,4,4,5,1,2,0,1,0,0,0,1,1,-1.34,-0.61,1,1,0,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-01-0734-46,2541315905.0,1021,"127,634",002541315905,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,BACHILLERATO,1.0,19,4,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-403,2,2,1,1,2,2,2,1,5,4,2,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,3,2,1,1,0,0,1,0,0,1,1,-0.38,-0.56,1,1,0,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-01-0766-46,6411009185.0,238,"129,161",006411009185,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,BACHILLERATO,1.0,18,3,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-403,1,1,1,0,2,1,1,.,1,4,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7,6,0,1,2,0,0,1,0,0,1,1,1.06,-1.08,3,1,1,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-01-0734-46,5695909012.0,1021,"128,004",005695909012,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,BACHILLERATO,1.0,19,4,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-403,2,2,1,1,2,2,2,2,5,4,5,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,2,3,2,1,2,0,1,0,0,0,1,1,0.09,-0.86,2,1,0,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-12-0139-46,1457885182.0,22,"142,387",001457885182,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 12,12.0,Diversificado,46,BACHILLERATO,1.0,23,6,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-641,1,2,1,1,1,.,1,.,5,4,2,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,3,1,1,0,1,1,0,0,1,1,0.5,-0.57,2,1,0,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-12-0155-46,1543274933.0,611,"143,412",001543274933,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 12,12.0,Diversificado,46,BACHILLERATO,1.0,20,5,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-411,2,2,1,1,1,.,2,1,5,4,2,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,4,3,3,1,1,0,1,1,0,0,1,1,3.98,1.51,4,4,1,1,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-01-0734-46,3254562929.0,1021,"127,659",003254562929,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,BACHILLERATO,1.0,19,4,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-403,3,2,1,0,2,4,2,4,5,4,2,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,2,1,4,0,1,1,0,0,1,1,0.16,0.0,2,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-01-0734-46,5242957191.0,1021,"128,425",005242957191,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,BACHILLERATO,1.0,21,6,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-403,2,2,1,1,2,1,2,1,5,4,2,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,2,2,3,1,1,0,1,0,0,0,1,1,-0.51,-0.76,1,1,0,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-07-0243-46,2464123214.0,37,"138,431",002464123214,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 7,7.0,Diversificado,46,BACHILLERATO,1.0,21,6,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-639,2,2,1,1,2,2,2,3,5,4,5,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,-0.18,0.84,1,3,0,1,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-11-0097-46,3709817544.0,64,"141,137",003709817544,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 11,11.0,Diversificado,46,BACHILLERATO,1.0,42,6,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-641,2,2,1,1,1,.,0,1,5,4,5,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1.61,0.36,4,2,1,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-01-0774-46,507655931.0,28,"129,490",000507655931,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,BACHILLERATO,1.0,19,4,1,Privado,22,Urbana,11,Sin Jornada,99,ANUAL,01-403,2,1,1,1,2,1,2,2,4,4,2,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,2,1,1,0,0,1,0,0,1,1,0.75,0.94,2,4,0,1,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Sin Jornada | BACHILLERATO | 1,2579,40,64.475,0.015509887553315239
00-01-0785-46,839837724.0,6,"129,755",000839837724,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,BACHILLERATO,1.0,16,1,0,Privado,22,Urbana,11,Vespertina,32,ANUAL,01-312,3,2,0,0,2,3,2,3,4,4,5,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,4,4,2,0,4,0,1,1,0,0,1,1,-0.03,0.31,1,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Vespertina | BACHILLERATO | 0,272,4,68.0,0.014705882352941176
00-17-8962-46,6924950091.0,33,"147,188",006924950091,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 17,17.0,Diversificado,46,BACHILLERATO,1.0,17,2,0,Privado,22,Urbana,11,Vespertina,32,ANUAL,01-110,2,2,0,0,2,1,2,3,5,2,3,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,2,2,1,0,4,0,0,1,0,0,0,1,-0.26,-0.13,1,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Vespertina | BACHILLERATO | 0,272,4,68.0,0.014705882352941176
00-12-0911-46,498659938.0,23,"143,776",000498659938,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 12,12.0,Diversificado,46,BACHILLERATO,1.0,17,2,0,Privado,22,Urbana,11,Vespertina,32,ANUAL,01-211,1,2,0,0,2,3,2,1,5,5,2,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,4,5,1,1,1,0,1,0,0,0,1,1,-0.5,-0.11,1,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Vespertina | BACHILLERATO | 0,272,4,68.0,0.014705882352941176
00-01-8845-46,2072161911.0,11,"132,735",002072161911,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,BACHILLERATO,1.0,17,2,0,Privado,22,Urbana,11,Vespertina,32,ANUAL,01-307,2,2,0,0,2,3,2,3,4,4,2,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,2,0,1,0,1,1,0,0,1,1,-0.64,0.5,1,3,0,1,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Vespertina | BACHILLERATO | 0,272,4,68.0,0.014705882352941176
00-01-0853-46,7255610587.0,17,"130,516",007255610587,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,BACHILLERATO,1.0,16,1,1,Privado,22,Urbana,11,Vespertina,32,ANUAL,01-312,2,2,0,1,2,4,2,4,5,5,5,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,6,3,1,1,1,0,1,1,0,0,1,1,-0.38,-0.29,1,1,0,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Vespertina | BACHILLERATO | 1,255,4,63.75,0.01568627450980392
00-07-0151-46,7686626662.0,26,"137,266",007686626662,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 7,7.0,Diversificado,46,BACHILLERATO,1.0,18,3,1,Privado,22,Urbana,11,Vespertina,32,ANUAL,01-623,2,2,0,1,2,2,2,1,5,4,3,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,5,1,1,1,1,0,1,1,0,1,1,1,2.3,2.31,4,4,1,1,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Vespertina | BACHILLERATO | 1,255,4,63.75,0.01568627450980392
00-18-0140-46,3594800974.0,55,"147,745",003594800974,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 18,18.0,Diversificado,46,BACHILLERATO,1.0,17,2,1,Privado,22,Urbana,11,Vespertina,32,ANUAL,01-110,2,2,0,0,0,3,2,3,5,4,5,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,4,0,1,1,1,0,1,0,0,0,1,1,-0.06,-0.61,1,1,0,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Vespertina | BACHILLERATO | 1,255,4,63.75,0.01568627450980392
00-06-0059-46,5142060832.0,21,"135,987",005142060832,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 6,6.0,Diversificado,46,BACHILLERATO,1.0,17,2,1,Privado,22,Urbana,11,Vespertina,32,ANUAL,01-102,2,2,0,0,2,2,2,1,5,4,5,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,4,0,1,1,4,0,1,1,0,1,1,1,0.07,0.42,2,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Vespertina | BACHILLERATO | 1,255,4,63.75,0.01568627450980392
00-06-0059-46,3008067856.0,21,"135,975",003008067856,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 6,6.0,Diversificado,46,MAGISTERIO,2.0,17,2,0,Privado,22,Urbana,11,Vespertina,32,ANUAL,01-102,2,2,0,0,2,1,2,2,5,5,2,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,2,5,5,1,1,0,1,1,0,0,1,1,-0.03,0.23,1,2,0,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Vespertina | MAGISTERIO | 0,9,1,9.0,0.1111111111111111
00-07-0026-46,7248865379.0,14,"136,830",007248865379,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 7,7.0,Diversificado,46,PERITO,3.0,17,2,0,Privado,22,Urbana,11,Vespertina,32,ANUAL,01-603,2,2,0,1,2,3,2,1,4,4,5,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,3,3,1,1,0,1,1,0,0,1,1,0.05,-0.81,2,1,0,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Vespertina | PERITO | 0,110,2,55.0,0.01818181818181818
00-01-0281-46,988415827.0,42,"125,000",000988415827,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 1,1.0,Diversificado,46,PERITO,3.0,18,3,0,Privado,22,Urbana,11,Vespertina,32,ANUAL,01-316,2,2,0,0,2,3,2,1,5,4,2,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,6,5,2,1,1,0,0,1,0,1,0,1,0.21,-0.19,2,1,0,0,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Vespertina | PERITO | 0,110,2,55.0,0.01818181818181818
00-07-9257-46,7880454776.0,152,"139,820",007880454776,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 7,7.0,Diversificado,46,PERITO,3.0,17,2,1,Privado,22,Urbana,11,Vespertina,32,ANUAL,01-619,2,2,0,0,2,3,2,3,5,4,5,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,2,2,3,0,2,0,1,0,0,0,1,1,2.0,1.21,4,4,1,1,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Vespertina | PERITO | 1,313,5,62.6,0.01597444089456869
00-07-9257-46,8841126875.0,152,"139,775",008841126875,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 7,7.0,Diversificado,46,PERITO,3.0,18,3,1,Privado,22,Urbana,11,Vespertina,32,ANUAL,01-619,2,2,1,0,2,1,2,1,4,3,2,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,5,0,1,0,1,0,1,1,0,0,1,1,1.99,1.43,4,4,1,1,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Vespertina | PERITO | 1,313,5,62.6,0.01597444089456869
00-07-9257-46,3787901247.0,152,"139,798",003787901247,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 7,7.0,Diversificado,46,PERITO,3.0,18,3,1,Privado,22,Urbana,11,Vespertina,32,ANUAL,01-619,2,2,0,0,2,4,2,3,5,4,5,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,5,0,1,1,1,0,1,1,0,0,1,1,3.63,2.02,4,4,1,1,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Vespertina | PERITO | 1,313,5,62.6,0.01597444089456869
00-07-9257-46,1529328542.0,152,"139,724",001529328542,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 7,7.0,Diversificado,46,PERITO,3.0,18,3,1,Privado,22,Urbana,11,Vespertina,32,ANUAL,01-619,2,2,0,0,2,4,2,4,5,4,3,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,5,2,1,0,1,0,1,1,0,0,1,1,3.54,1.97,4,4,1,1,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Vespertina | PERITO | 1,313,5,62.6,0.01597444089456869
00-07-9257-46,2416843342.0,152,"139,743",002416843342,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 7,7.0,Diversificado,46,PERITO,3.0,18,3,1,Privado,22,Urbana,11,Vespertina,32,ANUAL,01-619,3,2,0,0,2,4,2,4,5,5,5,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,6,0,0,0,4,0,1,0,0,0,1,1,1.16,1.39,3,4,1,1,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Vespertina | PERITO | 1,313,5,62.6,0.01597444089456869
00-07-8805-46,6077652012.0,17,"269,658",006077652012,2025,Región 1 o Metropolitana,1,Ciudad Capital,0.0,Zona 7,7.0,Diversificado,46,SECRETARIADO,4.0,18,3,0,Privado,22,Urbana,11,Vespertina,32,ANUAL,01-619,2,2,0,0,2,1,2,1,5,4,2,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,4,4,6,1,3,0,1,0,0,0,1,1,0.4,0.55,2,3,0,1,Región 1 o Metropolitana | Ciudad Capital | Privado | Urbana | Vespertina | SECRETARIADO | 0,30,1,30.0,0.03333333333333333
